id,id_num,id_hex,name,title,url,primer,type,primary,secondary/0,equipment/0,equipment/1,images/0,images/1,img/0,img/1,steps/0,steps/1,steps/2,steps/3,steps/4,steps/5,tips/0,tips/1,secondary/1,tips/2,secondary/2,steps/6,steps/7,images/2,img/2,secondary/3,images/3,img/3,secondary/4,steps/8,secondary/5
83,0016,f16,dumbbell-upright-rows,Dumbbell Upright Rows,http://db.everkinetic.com/exercise/dumbbell-upright-rows,"This is an exercise for shoulder, biceps and upper back strengthening.",isolation,shoulders,biceps,dumbbells,,"http://img.everkinetic.com/?action=image&id=83&number=0&key=69cadbdd2&version=58426e8b&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=83&number=1&key=69cadbdd2&version=64c4da08&size=960,960&download=large",_images/web/dumbbell-upright-rows-1.png,_images/web/dumbbell-upright-rows-2.png,Grasp a dumbbell in each hand with an overhand grip (palms facing downwards) and hold them in front of your thighs.,"Stand with your feet shoulder width apart, your abs drawn in and your back straight.","Starting with the dumbbells at your thighs, slowly raise them up towards your shoulders by bending your elbows.",Pause at the top and rotate your shoulder blades together.,Lower the dumbbells in a controlled motion to your thighs.,Repeat,Do not arch your back when raising the dumbbells towards your shoulders.,Ensure the dumbbells are held close to your body throughout the exercise.,upper back,"Do not perform this exercise if you have wrist, shoulder or elbow pain.",,,,,,,,,,,
87,0017,f17,bent-over-lateral-cable-raises,Bent-over Lateral Cable Raises,http://db.everkinetic.com/exercise/bent-over-lateral-cable-raises,"This is an exercise for shoulder, trapezius and middle back strengthening.",isolation,shoulders,trapezius,cable machine,,"http://img.everkinetic.com/?action=image&id=87&number=0&key=69cadbdd2&version=619187e9&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=87&number=1&key=69cadbdd2&version=71a6b325&size=960,960&download=large",_images/web/bent-over-lateral-cable-raises-1.png,_images/web/bent-over-lateral-cable-raises-2.png,Grasp the handle of the low pulley with your right hand.,Bend forward from the waist; your upper body should be nearly parallel with the floor. Bend your knees slightly and place your left hand on your left thigh. Let your right arm hang from your shoulder in front of you with your elbow slightly bent. This is your starting position.,"Lift your right arm, keeping your elbow slightly bent.","Keep moving your arm until it is parallel to the floor, in line with your right ear.",Slowly bring the weight back down to the starting position.,Perform exercise on left arm and then repeat.,Start with a lower weight in order to perfect the technique.,Ensure your back remains straight throughout this exercise in order to prevent injury.,middle back,,,,,,,,,,,,
90,0018,f18,lateral-dumbbell-raises,Lateral Dumbbell Raises,http://db.everkinetic.com/exercise/lateral-dumbbell-raises,"This is an exercise for lateral deltoid, shoulder and forearm strengthening.",isolation,lateral deltoid,forearm,dumbbells,,"http://img.everkinetic.com/?action=image&id=90&number=0&key=69cadbdd2&version=996307ee&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=90&number=1&key=69cadbdd2&version=0e28652b&size=960,960&download=large",_images/web/lateral-dumbbell-raises-1.png,_images/web/lateral-dumbbell-raises-2.png,"Grasp a dumbbell in each hand, palms facing inward towards your body and the dumbbells at your sides.","Standing with your feet shoulder with apart, draw your abs in and bend your knees slightly.","While keeping your torso still, raise the your arms up to the sides keeping your arms straight with a slight bend in the elbows.","Raise your arms up until in line with your shoulders, your palms should face the floor.",Hold the position for a moment then in a controlled movement lower your arms to the starting position.,Repeat,Maintain a good upright posture ensuring no arching in the back in order to prevent injuries.,,shoulders,,,,,,,,,,,,
93,0019,f19,ball-wall-circles,Ball Wall Circles,http://db.everkinetic.com/exercise/ball-wall-circles,This is an exercise to strengthen and stretch the rotator cuff muscles or shoulder muscles.,compound,shoulders,biceps,swiss ball,,"http://img.everkinetic.com/?action=image&id=93&number=0&key=69cadbdd2&version=0330e5a1&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=93&number=1&key=69cadbdd2&version=1541c4c8&size=960,960&download=large",_images/web/ball-wall-circles-1.png,_images/web/ball-wall-circles-2.png,Stand upright with your feet shoulder width apart.,"Place a Swiss ball at chest height against a wall and with your left hand, roll the ball in small circles against the wall.",Keep your arm fully extended with a slight bend in the elbow.,Reverse the direction of the circles.,Switch arms.,,Maintain a good upright posture throughout this exercise.,Ensure the swiss ball is inflated enough to allow for smooth rhythmical circles.,triceps,,,,,,,,,,,,
96,0020,f20,back-flys-exercise-band,Back Fly's with Exercise Band,http://db.everkinetic.com/exercise/back-flys-exercise-band,"This is an exercise for shoulder, middle back and triceps strengthening.",isolation,shoulders,triceps,exercise band,,"http://img.everkinetic.com/?action=image&id=96&number=0&key=69cadbdd2&version=7b073df3&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=96&number=1&key=69cadbdd2&version=320ed35e&size=960,960&download=large",_images/web/back-flys-exercise-band-1.png,_images/web/back-flys-exercise-band-2.png,Place an exercise band around a post or machine at mid chest height.,"Stand with your feet shoulder width apart, abs drawn in and knees slightly bent.","Stand back from the post so there is tension in the band, grasping the band with your arms extended in front of you and a slight bend in your elbows; this is your starting position.",Bring your arms back in a controlled motion till they are parallel at your sides and in line with your shoulders.,Slowly return your arms to the starting position in front of your chest.,Repeat.,Maintain a good upright posture at all times during this exercise ensuring you do not arch your back.,,middle back,,,,,,,,,,,,
99,0021,f299,flat-bench-leg-raises,Flat Bench Leg Raises,http://db.everkinetic.com/exercise/flat-bench-leg-raises,This is an exercise for lower abdominal strengthening.,isolation,lower abdominals,,body,,"http://img.everkinetic.com/?action=image&id=99&number=0&key=69cadbdd2&version=73b7f481&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=99&number=1&key=69cadbdd2&version=8be67f23&size=960,960&download=large",_images/web/flat-bench-leg-raises-1.png,_images/web/flat-bench-leg-raises-2.png,Lie on a flat bench with your hands under your hips supporting your back.,Your legs should be unsupported by the bench from below your knees.,"With your feet together and your toes flexed upwards, raise your straight legs up a few cm off the bench; both of your legs should have no contact with the bench. This is your starting position.",Keep your legs straight with a slight bend in the knees and raise your legs to just before 90 degrees with your hips.,Pause at the top and lower your legs in slow controlled manner back to the starting position.,Repeat.,If you are pregnant you should contact your doctor prior to doing this exercise.,Ensure your back stays in contact with the bench at all times during this exercise.,,,,,,,,,,,,,
106,0022,f22,smith-machine-rear-deltoid-row,Smith Machine Rear Deltoid Row,http://db.everkinetic.com/exercise/smith-machine-rear-deltoid-row,,isolation,rear deltoid,back,smith machine,,"http://img.everkinetic.com/?action=image&id=106&number=0&key=69cadbdd2&version=fc329a5b&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=106&number=1&key=69cadbdd2&version=5b1f76c9&size=960,960&download=large",_images/web/smith-machine-rear-deltoid-row-1.png,_images/web/smith-machine-rear-deltoid-row-2.png,"This is an exercise for rear deltoid,shoulder, biceps and back strengthening.", Set the bar to the lowest setting.,Place your feet shoulder width apart with a slight bend in the knees.,Bend at the waist while keeping your back straight and chest parallel to the floor.,Grasp the bar slightly wider than your shoulders with an overhand grasp and your arms straight with a slight bend in the elbows.,Raise the bar with a controlled motion to the lower part of your chest by bending and elevating your elbows.,Ensure you back is straight and that you maintain a good posture throughout this exercise.,,biceps,,shoulders,Hold for a moment and then lower to the starting position.,Repeat.,,,,,,,,
109,0023,f23,lying-rear-lateral-raise,Lying Rear Lateral Raise,http://db.everkinetic.com/exercise/lying-rear-lateral-raise,This is an exercise for shoulder strengthening.,isolation,shoulders,,flat bench,dumbbells,"http://img.everkinetic.com/?action=image&id=109&number=0&key=69cadbdd2&version=047053b8&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=109&number=1&key=69cadbdd2&version=5875772d&size=960,960&download=large",_images/web/lying-rear-lateral-raise-1.png,_images/web/lying-rear-lateral-raise-2.png,Place the dumbbells at he head of the bench.,Lie facedown on a raised bench; raised enough for your arms to move freely beneath the bench.,Place your toes on the floor in order to stabilise yourself.,"Grasp the dumbbells and with a 30 degree bend in your elbows, this is the starting position.","Raise your arms to shoulder height, maintaining a controlled motion.",Return to starting position and repeat.,,,,,,,,,,,,,,,
112,0024,f24,rear-deltoid-row-dumbbell,Rear Deltoid Row Dumbbell,http://db.everkinetic.com/exercise/rear-deltoid-row-dumbbell,"This is an exercise for deltoid, biceps and trapezius strengthening.",isolation,posterior deltoid,lateral deltoid,dumbbell,,"http://img.everkinetic.com/?action=image&id=112&number=0&key=69cadbdd2&version=93b1d5c4&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=112&number=1&key=69cadbdd2&version=8ed34100&size=960,960&download=large",_images/web/rear-deltoid-row-dumbbell-1.png,_images/web/rear-deltoid-row-dumbbell-2.png,"Place your right foot on the floor, rest your left knee and hand on a flat bench.",Lean forward so your body’s weight is supported by your left arm and knee.,"Keeping your back flat, reach down and pick up the dumbbell with your right hand.",Raise your right arm as close to your chest as possible; while bending and bringing your elbow back as far as you can.,Pause at the top for a moment and then lower the dumbbell in a controlled manner to the starting position.,Switch arms by doing the opposite positioning.,maintain a good posture at all times throughout the exercise.,,biceps,,trapezius,Repeat.,,,,,,,,,
115,0025,f25,seated-cable-rows,Seated Cable Rows,http://db.everkinetic.com/exercise/seated-cable-rows,"This is an exercise for middle back, biceps and lower back strengthening.",compound,middle back,biceps,cable machine,,"http://img.everkinetic.com/?action=image&id=115&number=0&key=69cadbdd2&version=e4ea251b&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=115&number=1&key=69cadbdd2&version=ad101940&size=960,960&download=large",_images/web/seated-cable-rows-1.png,_images/web/seated-cable-rows-2.png,Sit at a low pulley machine with your feet resting against the footrests and your knees slightly bent.,With your abs drawn in and your back straight lean forward slightly to grasp the pulleys with an overhand grip (palms face downwards).,"Slowly bring the pulleys back towards your abs while sitting upright, keep your elbows in close to your chest.",Pause for a moment then return slowly return the pulleys to the starting position.,Repeat.,,Ensure that your back is straight at all times and do not lock your knees when rowing back.,,lower back,,,,,,,,,,,,
119,0026,f26,reverse-grips-bent-over-barbell-rows,Reverse Grips Bent Over Barbell Rows,http://db.everkinetic.com/exercise/reverse-grips-bent-over-barbell-rows,This is an exercise for middle back and biceps strengthening.,isolation,middle back,biceps,barbell,,"http://img.everkinetic.com/?action=image&id=119&number=0&key=69cadbdd2&version=9dd6b3e6&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=119&number=1&key=69cadbdd2&version=3301cad4&size=960,960&download=large",_images/web/reverse-grips-bent-over-barbell-rows-1.png,_images/web/reverse-grips-bent-over-barbell-rows-2.png,Bend over a barbell at slight angle with your knees bent and your back straight.,"Grasp the bar with a reverse grip (palms facing up) and slowly pull the barbell to your abs, keeping your elbows close to your sides.",Pause for a moment at the top.,Return the barbell to the starting position.,Repeat.,,Ensure that the weight of the barbell is evenly distributed through both hands.,,,,,,,,,,,,,,
122,0027,f300,stationary-abdominal-draw-in,Stationary Abdominal Draw In,http://db.everkinetic.com/exercise/stationary-abdominal-draw-in,This is an exercise for abdominal and core strengthening which are vital in supporting the spine.,isometric,abdominals,core,body,,"http://img.everkinetic.com/?action=image&id=122&number=0&key=69cadbdd2&version=e32fbc06&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=122&number=1&key=69cadbdd2&version=bd2a20bb&size=960,960&download=large",_images/web/stationary-abdominal-draw-in-1.png,_images/web/stationary-abdominal-draw-in-2.png,"Get down on a mat on your hands and knees, forming a four point rectangle or square shape.",Keep your back straight and your hips and pelvis in a neutral position.,"Draw your abs in, crunching your abs while keeping your back still.",Hold for a moment and then release returning to the starting position.,Repeat.,,For this exercise to be maximally effective your back should not move at all through out the contraction and relaxation.,,,,,,,,,,,,,,
126,0028,f28,rear-deltoid-row-barbell,Rear Deltoid Row Barbell,http://db.everkinetic.com/exercise/rear-deltoid-row-barbell,This is an exercise for shoulder and biceps strengthening.,isolation,shoulders,biceps,barbell,,"http://img.everkinetic.com/?action=image&id=126&number=0&key=69cadbdd2&version=21997d65&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=126&number=1&key=69cadbdd2&version=eba33197&size=960,960&download=large",_images/web/rear-deltoid-row-barbell-1.png,_images/web/rear-deltoid-row-barbell-2.png,Place a barbell on the floor in front of you with the resided weights attached.,With your knees bent and back straight grasp the bar with a wide overhand grip (palms facing downwards).,Keep your chest steady and your arms perpendicular to your chest.,Pull the bar as far up to your chest as you can.,Hold for a moment than lower the bar in a controlled manner.,Repeat.,,,,,,,,,,,,,,,
130,0029,f29,t-bar-rows,T-Bar Rows,http://db.everkinetic.com/exercise/t-bar-rows,"This is an exercise for middle back, biceps and shoulder strengthening.",isolation,middle back,biceps,t-bar machine,,"http://img.everkinetic.com/?action=image&id=130&number=0&key=69cadbdd2&version=ac3a0774&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=130&number=1&key=69cadbdd2&version=77d52543&size=960,960&download=large",_images/web/t-bar-rows-1.png,_images/web/t-bar-rows-2.png,Place your feet on either side of a T-Bar Machine.,"With your knees slightly bent and abs drawn in, grasp the handles with a narrow grip.","Bend at the waist so your chest is parallel to the floor, this is starting position. Slowly pull the bar to your chest, as high as you can.",Pause at the top for a moment and then lower the bar to starting position.,Repeat,,Keep your back straight throughout this exercise in order to prevent injury.,Keep your elbows close to your body throughout the exercise.,shoulders,,,,,,,,,,,,
